"subject_id","qc_mot_abs","qc_mot_rel","qc_outliers_pe","avg_snr_0","avg_cnr_1000","residual","qc_PC1"
"sub-SUB0071",1.01,0.23,0.757575758,49.16999817,2.589999914,4.327244,0.552863175930018
"sub-SUB0072",0.53,0.21,0.114784206,33.52000046,3.700000048,3.508006,-0.059357046723503
"sub-SUB0073",0.5,0.14,0.046620047,44.91999817,3.019999981,4.037175,-0.544836303073693
"sub-SUB0074",0.21,0.09,0.045913682,72.94999695,6.769999981,3.920745,-3.34315284754842
"sub-SUB0075",0.56,0.28,1.170798898,47.20999908,3.230000019,4.169419,0.402501802901918
"sub-SUB0076",0.29,0.18,0.699300699,46.31000137,2.609999895,2.961434,-0.21220712917039
"sub-SUB0077",0.81,0.19,1.095571096,41.79999924,2.230000019,3.713962,0.832218212427792
"sub-SUB0078",0.46,0.34,0.045913682,34.54000092,2.829999924,4.140493,0.522744025657402
"sub-SUB0079",0.72,0.22,0.34965035,40.40999985,2.559999943,4.079573,0.397242353553217
"sub-SUB0080",0.31,0.1,0.022956841,41.81000137,4.670000076,3.376602,-1.30473153959256
"sub-SUB0081",0.32,0.12,0.183654729,46.15999985,3.400000095,3.476434,-0.890380327596322
"sub-SUB0082",0.51,0.17,0.116550117,38.11999893,2.440000057,3.936138,0.0586340672379786
"sub-SUB0083",0.2,0.14,0.573921028,47.02000046,3.00999999,3.653802,-0.612552689419386
"sub-SUB0084",0.76,0.22,0.48951049,45.97999954,2.99000001,3.656893,0.120420300356661
"sub-SUB0085",1.17,0.18,0,39.59000015,2.180000067,15.640357,1.17686997715792
"sub-SUB0086",0.44,0.12,0.642791552,59.38000107,4.769999981,3.410332,-1.52839982944956
"sub-SUB0087",1.38,0.25,0.573921028,51.06999969,1.74000001,3.517882,1.00345011106073
"sub-SUB0088",0.35,0.1,1.423324151,49.58000183,5.340000153,4.006439,-1.00472629221438
"sub-SUB0089",0.49,0.09,0.045913682,78.20999908,5.570000172,3.462691,-2.93199512669716
"sub-SUB0090",0.48,0.19,0.163170163,42.45000076,2.440000057,3.921131,-0.0552435967856322
"sub-SUB0091",0.4,0.19,0.022956841,39.27000046,2.460000038,3.359137,-0.107001634004027
"sub-SUB0092",0.32,0.22,0.046620047,40.41999817,2.289999962,3.793633,-0.039625719795169
"sub-SUB0093",0.58,0.22,0.390266299,39.27000046,2.730000019,4.560672,0.310179285060282
"sub-SUB0094",0.4,0.19,0.711662075,53.88999939,3.380000114,15.360838,-0.057610282861532
"sub-SUB0095",0.21,0.17,0.303030303,47.54999924,2.519999981,3.450817,-0.527788658714726
"sub-SUB0096",0.28,0.17,0,48,2.440000057,3.744213,-0.612054074666194
"sub-SUB0097",0.38,0.21,0.252525253,35.18999863,3.210000038,3.334734,-0.024207560236451
"sub-SUB0098",0.47,0.19,0.792540793,34.59000015,2.130000114,5.031334,0.756972798399054
"sub-SUB0099",0.42,0.25,0.163170163,35.31999969,2.119999886,3.278884,0.441897731129004
"sub-SUB0100",0.87,0.14,0.137741047,39.18999863,2.819999933,3.249302,0.086495375642946
